PaymentID,ResidentID,PropertyID,PaymentDate,Amount
PM00001,R0085,P005,2025-06-24,2122
PM00002,R0109,P008,2025-08-10,1345
PM00003,R0031,P006,2026-09-07,1578
PM00004,R0229,P009,2025-02-23,1239
PM00005,R0240,P001,2026-11-26,988
PM00006,R0141,P009,2026-02-07,811
PM00007,R0156,P001,2025-11-14,703
PM00008,R0299,P010,2025-12-15,1719
PM00009,R0099,P010,2026-03-19,1981
PM00010,R0047,P003,2026-08-03,1176
PM00011,R0067,P001,2026-06-24,1975
PM00012,R0062,P003,2025-10-09,624
PM00013,R0109,P002,2025-12-26,2391
PM00014,R0167,P002,2026-09-23,1379
PM00015,R0037,P009,2026-10-08,1327
PM00016,R0119,P008,2026-10-03,1253
PM00017,R0086,P001,2025-01-08,89
PM00018,R0052,P004,2026-07-17,569
PM00019,R0091,P001,2026-05-06,1689
PM00020,R0289,P001,2025-12-07,2333
PM00021,R0298,P004,2026-04-17,512
PM00022,R0204,P002,2026-11-18,1301
PM00023,R0238,P003,2026-11-26,1898
PM00024,R0155,P009,2026-12-05,532
PM00025,R0240,P002,2025-09-06,392
PM00026,R0136,P004,2025-08-23,1246
PM00027,R0064,P001,2025-03-24,1512
PM00028,R0123,P002,2025-04-03,1252
PM00029,R0254,P005,2026-01-29,1671
PM00030,R0114,P010,2025-09-25,2230
PM00031,R0020,P001,2026-02-21,2448
PM00032,R0016,P007,2026-09-24,2181
PM00033,R0145,P004,2026-08-06,1042
PM00034,R0208,P006,2026-06-13,2440
PM00035,R0019,P008,2025-09-10,1239
PM00036,R0166,P006,2025-05-02,2390
PM00037,R0038,P002,2025-01-10,1653
PM00038,R0181,P001,2025-11-12,1243
PM00039,R0105,P008,2025-09-30,647
PM00040,R0100,P008,2025-11-02,694
PM00041,R0090,P009,2025-07-29,497
PM00042,R0300,P006,2026-12-31,813
PM00043,R0079,P001,2026-04-09,784
PM00044,R0073,P009,2026-12-13,1692
PM00045,R0176,P003,2026-12-29,2347
PM00046,R0096,P006,2026-12-18,650
PM00047,R0103,P010,2026-02-20,2222
PM00048,R0224,P010,2025-08-04,2210
PM00049,R0006,P009,2025-03-21,1030
PM00050,R0122,P003,2026-04-25,1832
PM00051,R0236,P005,2026-07-01,2247
PM00052,R0116,P005,2025-01-18,2440
PM00053,R0163,P010,2025-06-14,629
PM00054,R0226,P007,2026-06-09,832
PM00055,R0230,P004,2025-07-21,2418
PM00056,R0182,P004,2025-12-12,581
PM00057,R0249,P007,2026-01-01,1562
PM00058,R0210,P009,2026-03-24,661
PM00059,R0144,P004,2026-05-28,2349
PM00060,R0096,P004,2025-11-15,2055
PM00061,R0244,P006,2025-08-05,1150
PM00062,R0086,P006,2025-02-03,1720
PM00063,R0184,P007,2025-09-23,1465
PM00064,R0121,P001,2026-10-02,1485
PM00065,R0092,P003,2026-12-25,2270
PM00066,R0070,P009,2025-03-21,924
PM00067,R0133,P006,2026-11-08,2298
PM00068,R0279,P006,2026-02-17,266
PM00069,R0137,P005,2025-09-09,425
PM00070,R0187,P003,2025-01-12,1659
PM00071,R0221,P005,2026-02-05,60
PM00072,R0046,P001,2026-12-25,1663
PM00073,R0278,P003,2025-10-09,867
PM00074,R0192,P004,2025-04-22,1346
PM00075,R0008,P005,2026-12-24,740
PM00076,R0276,P010,2026-01-13,1649
PM00077,R0179,P009,2025-09-25,1582
PM00078,R0039,P004,2025-10-25,1205
PM00079,R0293,P003,2025-11-13,1997
PM00080,R0178,P010,2026-07-24,833
PM00081,R0162,P001,2026-05-24,2416
PM00082,R0104,P010,2026-06-30,2022
PM00083,R0161,P006,2025-12-31,1926
PM00084,R0287,P007,2026-07-01,834
PM00085,R0123,P010,2025-09-28,446
PM00086,R0054,P008,2026-04-19,1131
PM00087,R0034,P001,2026-06-21,1553
PM00088,R0242,P004,2025-08-22,2083
PM00089,R0113,P005,2025-02-28,1664
PM00090,R0023,P002,2025-09-08,509
PM00091,R0046,P001,2025-03-27,2158
PM00092,R0135,P008,2026-01-25,2466
PM00093,R0118,P006,2025-06-29,595
PM00094,R0189,P005,2026-12-20,546
PM00095,R0131,P009,2025-05-29,554
PM00096,R0212,P002,2026-08-06,1142
PM00097,R0113,P010,2025-05-01,2258
PM00098,R0044,P008,2026-08-28,1687
PM00099,R0128,P010,2025-09-13,767
PM00100,R0158,P009,2025-11-05,1642
PM00101,R0273,P001,2025-02-28,1458
PM00102,R0045,P007,2025-03-10,318
PM00103,R0108,P008,2026-03-22,1996
PM00104,R0219,P003,2026-01-23,1527
PM00105,R0177,P004,2025-03-27,1591
PM00106,R0228,P003,2025-08-15,914
PM00107,R0191,P007,2026-08-16,2447
PM00108,R0160,P009,2026-09-18,159
PM00109,R0267,P003,2025-07-03,699
PM00110,R0190,P006,2025-11-18,2148
PM00111,R0175,P008,2025-11-14,1549
PM00112,R0290,P006,2026-07-20,1160
PM00113,R0145,P002,2026-02-03,645
PM00114,R0232,P007,2026-12-10,1028
PM00115,R0204,P002,2025-10-20,780
PM00116,R0213,P002,2025-10-20,106
PM00117,R0040,P002,2026-04-30,2293
PM00118,R0275,P001,2026-03-23,1833
PM00119,R0082,P001,2026-11-23,1751
PM00120,R0181,P007,2026-02-16,1336
PM00121,R0083,P005,2026-05-23,161
PM00122,R0262,P003,2025-09-01,760
PM00123,R0272,P001,2026-02-24,1251
PM00124,R0200,P010,2025-06-03,997
PM00125,R0240,P006,2026-02-28,75
PM00126,R0180,P001,2025-09-30,807
PM00127,R0171,P009,2026-10-09,1850
PM00128,R0295,P002,2026-06-04,1605
PM00129,R0177,P001,2025-05-08,1891
PM00130,R0237,P007,2026-01-08,2343
PM00131,R0138,P006,2026-07-22,1154
PM00132,R0129,P006,2026-09-30,711
PM00133,R0049,P005,2025-06-08,958
PM00134,R0164,P004,2026-07-25,2493
PM00135,R0277,P004,2026-07-24,571
PM00136,R0293,P003,2026-10-14,1906
PM00137,R0116,P010,2025-06-25,1809
PM00138,R0024,P008,2026-09-12,2361
PM00139,R0025,P007,2025-07-30,839
PM00140,R0127,P009,2026-03-23,1347
PM00141,R0234,P001,2026-08-09,1779
PM00142,R0209,P007,2025-06-16,221
PM00143,R0093,P010,2026-04-05,314
PM00144,R0094,P004,2025-12-23,2036
PM00145,R0225,P007,2025-10-31,1099
PM00146,R0280,P001,2025-08-21,1542
PM00147,R0011,P005,2025-11-23,1935
PM00148,R0012,P003,2025-07-01,525
PM00149,R0035,P005,2026-09-26,2453
PM00150,R0228,P004,2025-11-30,1099
PM00151,R0220,P002,2026-12-16,83
PM00152,R0141,P004,2025-01-29,2361
PM00153,R0023,P003,2026-12-15,1211
PM00154,R0083,P001,2025-04-03,865
PM00155,R0229,P010,2026-11-19,803
PM00156,R0080,P008,2025-11-26,615
PM00157,R0290,P005,2026-12-24,511
PM00158,R0159,P004,2025-07-03,1704
PM00159,R0128,P010,2025-04-05,130
PM00160,R0190,P005,2026-10-11,1987
PM00161,R0031,P004,2025-12-19,919
PM00162,R0015,P003,2025-09-22,1480
PM00163,R0075,P005,2026-10-09,1119
PM00164,R0034,P004,2026-10-18,648
PM00165,R0196,P001,2025-01-19,1684
PM00166,R0029,P003,2026-10-08,856
PM00167,R0194,P010,2026-09-18,1984
PM00168,R0016,P010,2026-05-14,1126
PM00169,R0077,P008,2025-05-19,753
PM00170,R0293,P007,2026-09-29,2113
PM00171,R0081,P002,2026-12-17,536
PM00172,R0124,P001,2026-07-27,755
PM00173,R0019,P003,2026-06-09,1575
PM00174,R0102,P005,2025-09-12,1214
PM00175,R0077,P010,2025-03-26,669
PM00176,R0229,P001,2026-04-03,826
PM00177,R0297,P003,2026-06-16,496
PM00178,R0203,P003,2026-07-16,2387
PM00179,R0061,P005,2026-11-07,258
PM00180,R0026,P003,2025-04-02,1548
PM00181,R0071,P009,2026-08-23,1500
PM00182,R0103,P001,2025-03-10,1927
PM00183,R0157,P004,2025-02-06,2387
PM00184,R0194,P010,2025-05-20,1341
PM00185,R0275,P010,2026-11-11,2248
PM00186,R0186,P004,2026-07-20,1792
PM00187,R0113,P001,2025-06-27,1328
PM00188,R0165,P002,2026-09-10,1450
PM00189,R0061,P001,2025-05-17,1726
PM00190,R0092,P006,2025-07-09,904
PM00191,R0286,P003,2026-10-02,1431
PM00192,R0153,P007,2025-12-08,2467
PM00193,R0225,P005,2026-07-13,754
PM00194,R0127,P009,2025-01-05,875
PM00195,R0193,P007,2025-09-14,1054
PM00196,R0115,P004,2026-10-24,426
PM00197,R0262,P005,2025-08-31,1022
PM00198,R0018,P005,2026-12-21,167
PM00199,R0010,P005,2026-02-19,493
PM00200,R0092,P010,2026-09-19,804
PM00201,R0139,P009,2026-12-08,689
PM00202,R0052,P010,2025-12-09,2221
PM00203,R0195,P003,2026-11-13,1350
PM00204,R0206,P006,2026-01-14,2457
PM00205,R0287,P008,2026-08-17,672
PM00206,R0093,P009,2026-10-28,1542
PM00207,R0145,P007,2026-10-15,2058
PM00208,R0086,P003,2025-05-26,1701
PM00209,R0153,P001,2025-11-19,1773
PM00210,R0002,P004,2025-05-02,1969
PM00211,R0260,P006,2025-09-09,968
PM00212,R0164,P003,2025-11-07,1223
PM00213,R0006,P001,2026-08-24,1235
PM00214,R0149,P006,2026-04-20,169
PM00215,R0205,P001,2026-07-24,631
PM00216,R0118,P009,2026-05-07,1997
PM00217,R0089,P001,2026-07-29,2196
PM00218,R0154,P006,2025-12-13,1240
PM00219,R0167,P001,2026-05-02,1736
PM00220,R0161,P007,2026-04-18,2049
PM00221,R0270,P003,2026-01-17,450
PM00222,R0056,P006,2025-10-07,2462
PM00223,R0228,P007,2025-03-13,1399
PM00224,R0149,P001,2026-06-05,1706
PM00225,R0046,P001,2026-01-01,670
PM00226,R0144,P005,2025-04-04,296
PM00227,R0238,P006,2026-01-08,1166
PM00228,R0272,P009,2025-12-05,673
PM00229,R0120,P001,2026-03-13,2418
PM00230,R0220,P004,2025-12-02,1889
PM00231,R0008,P010,2026-10-26,2159
PM00232,R0275,P008,2026-05-07,349
PM00233,R0066,P010,2025-02-09,452
PM00234,R0079,P009,2025-12-25,1721
PM00235,R0086,P003,2026-07-28,302
PM00236,R0124,P002,2025-09-11,1807
PM00237,R0202,P004,2026-08-04,1442
PM00238,R0150,P002,2026-02-02,2014
PM00239,R0046,P001,2025-06-19,209
PM00240,R0113,P003,2026-11-21,254
PM00241,R0091,P007,2026-12-02,1211
PM00242,R0141,P001,2026-05-26,1441
PM00243,R0289,P002,2025-09-17,907
PM00244,R0218,P001,2026-08-07,809
PM00245,R0077,P008,2026-04-04,1640
PM00246,R0152,P005,2026-06-13,2165
PM00247,R0239,P008,2025-12-07,182
PM00248,R0115,P003,2025-02-26,1773
PM00249,R0094,P007,2025-08-06,479
PM00250,R0048,P008,2026-09-11,2405
PM00251,R0191,P006,2026-11-16,1247
PM00252,R0012,P007,2026-04-09,146
PM00253,R0156,P002,2025-09-04,1756
PM00254,R0172,P008,2026-12-31,1227
PM00255,R0296,P005,2026-01-08,1768
PM00256,R0177,P007,2026-02-21,1315
PM00257,R0057,P001,2025-01-31,1377
PM00258,R0203,P005,2026-01-03,1358
PM00259,R0185,P001,2026-07-13,1100
PM00260,R0121,P008,2026-10-08,1433
PM00261,R0226,P004,2025-04-18,2299
PM00262,R0202,P004,2026-08-07,630
PM00263,R0216,P002,2026-02-22,2467
PM00264,R0043,P005,2026-09-12,582
PM00265,R0023,P001,2026-02-02,1225
PM00266,R0155,P009,2025-09-29,1175
PM00267,R0186,P005,2026-11-14,948
PM00268,R0249,P006,2025-04-26,1519
PM00269,R0237,P002,2026-08-09,1302
PM00270,R0293,P010,2025-09-13,819
PM00271,R0134,P010,2025-03-22,883
PM00272,R0022,P001,2025-05-08,1954
PM00273,R0088,P004,2025-08-23,2333
PM00274,R0153,P007,2026-07-07,2259
PM00275,R0125,P006,2025-06-30,603
PM00276,R0079,P010,2025-06-06,1141
PM00277,R0051,P001,2026-03-30,1246
PM00278,R0216,P001,2026-07-25,1710
PM00279,R0176,P008,2026-12-05,608
PM00280,R0253,P004,2025-01-24,310
PM00281,R0246,P005,2026-04-18,2314
PM00282,R0227,P007,2026-02-04,1890
PM00283,R0106,P008,2026-08-15,1197
PM00284,R0193,P010,2025-05-14,854
PM00285,R0036,P007,2026-02-25,1235
PM00286,R0204,P002,2025-08-01,2298
PM00287,R0267,P004,2026-04-27,2499
PM00288,R0268,P010,2025-12-14,324
PM00289,R0170,P001,2025-06-15,255
PM00290,R0039,P010,2025-12-14,1773
PM00291,R0139,P009,2026-02-02,916
PM00292,R0292,P003,2026-08-06,142
PM00293,R0052,P003,2026-12-27,1115
PM00294,R0287,P010,2026-03-11,2476
PM00295,R0289,P009,2026-07-31,1401
PM00296,R0141,P010,2025-08-09,2162
PM00297,R0146,P003,2025-11-04,414
PM00298,R0184,P008,2026-11-28,870
PM00299,R0152,P002,2026-12-20,1557
PM00300,R0201,P003,2026-04-11,2079
PM00301,R0128,P002,2025-04-09,1974
PM00302,R0287,P001,2025-08-30,1135
PM00303,R0253,P002,2025-06-07,1346
PM00304,R0266,P008,2026-09-02,2326
PM00305,R0188,P009,2026-07-08,1093
PM00306,R0230,P002,2026-10-13,52
PM00307,R0271,P007,2025-08-15,1803
PM00308,R0259,P005,2026-02-27,960
PM00309,R0299,P003,2025-03-13,356
PM00310,R0198,P009,2025-08-31,185
PM00311,R0056,P006,2026-06-14,1982
PM00312,R0203,P001,2026-08-12,2290
PM00313,R0271,P005,2025-02-14,1658
PM00314,R0109,P007,2026-04-17,1488
PM00315,R0116,P004,2026-01-06,922
PM00316,R0092,P008,2026-10-14,1191
PM00317,R0138,P010,2026-11-20,715
PM00318,R0057,P005,2025-04-02,258
PM00319,R0050,P009,2025-01-22,1001
PM00320,R0071,P009,2025-06-21,1107
PM00321,R0082,P009,2026-08-27,698
PM00322,R0105,P001,2025-07-11,1391
PM00323,R0088,P002,2025-03-18,2217
PM00324,R0002,P003,2025-10-08,676
PM00325,R0084,P004,2025-12-30,574
PM00326,R0043,P010,2025-06-28,1654
PM00327,R0154,P009,2025-08-26,1918
PM00328,R0094,P010,2025-05-15,818
PM00329,R0298,P006,2025-10-07,2144
PM00330,R0133,P001,2025-01-19,821
PM00331,R0065,P009,2026-08-18,789
PM00332,R0290,P006,2026-01-06,571
PM00333,R0257,P004,2025-04-22,1450
PM00334,R0213,P004,2026-11-07,2231
PM00335,R0148,P003,2026-11-11,297
PM00336,R0061,P007,2025-08-09,1391
PM00337,R0149,P003,2025-10-31,1908
PM00338,R0088,P002,2026-12-04,735
PM00339,R0278,P010,2025-11-21,635
PM00340,R0082,P008,2026-03-13,2448
PM00341,R0129,P004,2026-03-14,192
PM00342,R0286,P008,2025-06-19,1016
PM00343,R0280,P001,2026-01-10,767
PM00344,R0270,P005,2026-07-11,692
PM00345,R0292,P009,2026-01-16,419
PM00346,R0203,P001,2025-01-14,1159
PM00347,R0024,P004,2026-10-31,836
PM00348,R0208,P006,2026-05-15,1533
PM00349,R0280,P010,2026-10-08,999
PM00350,R0205,P008,2026-01-26,1398
PM00351,R0152,P003,2026-07-03,571
PM00352,R0026,P005,2026-07-19,2002
PM00353,R0194,P007,2026-06-14,2494
PM00354,R0238,P001,2026-05-07,404
PM00355,R0075,P007,2026-07-04,996
PM00356,R0163,P008,2026-11-30,2385
PM00357,R0299,P008,2026-01-20,1532
PM00358,R0029,P009,2025-07-15,1697
PM00359,R0165,P006,2025-10-27,585
PM00360,R0186,P006,2026-07-01,1364
PM00361,R0054,P002,2026-12-28,2265
PM00362,R0295,P003,2026-08-25,999
PM00363,R0042,P004,2025-11-04,670
PM00364,R0285,P004,2025-09-09,477
PM00365,R0138,P008,2025-01-08,1775
PM00366,R0187,P001,2025-07-27,2452
PM00367,R0204,P010,2025-05-11,2293
PM00368,R0042,P004,2026-12-10,594
PM00369,R0288,P004,2026-10-16,873
PM00370,R0026,P001,2026-08-31,1052
PM00371,R0056,P003,2025-01-26,708
PM00372,R0253,P005,2026-09-15,2108
PM00373,R0122,P006,2026-03-30,2493
PM00374,R0106,P009,2026-09-27,780
PM00375,R0130,P009,2025-07-05,1882
PM00376,R0158,P009,2026-04-29,458
PM00377,R0231,P001,2026-11-11,2459
PM00378,R0091,P009,2025-02-20,133
PM00379,R0022,P008,2025-01-05,2253
PM00380,R0290,P002,2026-08-12,756
PM00381,R0110,P001,2025-06-09,2011
PM00382,R0049,P001,2025-07-27,1497
PM00383,R0129,P006,2025-09-14,183
PM00384,R0073,P009,2025-07-24,837
PM00385,R0053,P007,2025-01-11,913
PM00386,R0168,P005,2025-01-08,716
PM00387,R0045,P002,2026-02-13,326
PM00388,R0105,P001,2025-02-01,1825
PM00389,R0150,P002,2026-06-24,931
PM00390,R0146,P001,2026-12-19,2110
PM00391,R0204,P003,2026-01-22,2439
PM00392,R0299,P006,2025-08-16,2132
PM00393,R0167,P008,2026-10-02,1287
PM00394,R0201,P003,2026-04-20,208
PM00395,R0134,P010,2026-12-25,1183
PM00396,R0211,P009,2025-07-26,1901
PM00397,R0048,P010,2025-11-14,328
PM00398,R0126,P005,2026-07-11,160
PM00399,R0239,P007,2026-09-09,591
PM00400,R0007,P008,2025-12-14,1188
PM00401,R0272,P003,2025-08-22,409
PM00402,R0037,P002,2026-12-02,2469
PM00403,R0211,P002,2025-02-13,1288
PM00404,R0165,P005,2025-05-22,1806
PM00405,R0125,P001,2026-10-10,1004
PM00406,R0192,P002,2025-06-25,2356
PM00407,R0218,P009,2026-10-16,2217
PM00408,R0214,P007,2026-03-25,1025
PM00409,R0062,P006,2026-08-15,962
PM00410,R0161,P009,2025-03-23,1201
PM00411,R0066,P007,2025-05-15,772
PM00412,R0286,P005,2026-12-20,1761
PM00413,R0239,P009,2025-06-26,374
PM00414,R0020,P006,2026-01-18,1579
PM00415,R0188,P006,2025-08-31,1599
PM00416,R0082,P004,2026-07-21,1123
PM00417,R0202,P001,2025-05-21,1995
PM00418,R0132,P005,2026-04-02,1657
PM00419,R0037,P009,2026-03-16,2166
PM00420,R0132,P008,2025-02-25,440
PM00421,R0077,P008,2026-06-11,2480
PM00422,R0089,P005,2026-11-28,65
PM00423,R0253,P009,2026-02-23,895
PM00424,R0194,P003,2025-03-29,918
PM00425,R0176,P003,2026-09-01,617
PM00426,R0033,P001,2026-10-18,2229
PM00427,R0058,P009,2025-01-08,2069
PM00428,R0201,P006,2026-04-22,2370
PM00429,R0028,P002,2025-08-03,1696
PM00430,R0035,P008,2026-11-16,406
PM00431,R0125,P009,2026-07-06,1706
PM00432,R0042,P009,2026-05-12,2330
PM00433,R0085,P002,2026-11-25,85
PM00434,R0188,P002,2026-05-18,1077
PM00435,R0111,P007,2026-11-30,2141
PM00436,R0271,P004,2025-09-02,163
PM00437,R0105,P001,2026-04-23,1822
PM00438,R0041,P008,2025-11-05,2494
PM00439,R0215,P002,2025-08-19,1247
PM00440,R0071,P003,2026-01-18,1328
PM00441,R0056,P005,2025-06-04,515
PM00442,R0236,P003,2025-06-24,1537
PM00443,R0281,P007,2025-04-25,896
PM00444,R0105,P007,2026-01-25,551
PM00445,R0162,P002,2025-11-07,490
PM00446,R0191,P007,2025-10-27,2166
PM00447,R0009,P006,2025-01-18,375
PM00448,R0060,P010,2025-01-12,1815
PM00449,R0225,P009,2026-02-08,116
PM00450,R0188,P009,2026-12-05,353
PM00451,R0070,P002,2025-08-20,1021
PM00452,R0293,P007,2026-08-28,533
PM00453,R0287,P005,2026-12-31,978
PM00454,R0169,P006,2025-10-05,1490
PM00455,R0062,P001,2025-12-19,198
PM00456,R0014,P007,2025-10-30,2345
PM00457,R0164,P006,2026-06-25,1174
PM00458,R0245,P004,2026-04-15,145
PM00459,R0008,P001,2025-03-18,331
PM00460,R0154,P009,2026-06-05,2419
PM00461,R0036,P004,2025-01-24,578
PM00462,R0048,P002,2025-01-15,2360
PM00463,R0085,P008,2026-11-07,1692
PM00464,R0028,P002,2026-06-09,629
PM00465,R0196,P005,2025-12-13,1713
PM00466,R0208,P006,2025-06-21,2391
PM00467,R0204,P008,2025-11-23,1681
PM00468,R0104,P001,2026-12-13,2492
PM00469,R0230,P001,2026-04-30,859
PM00470,R0101,P004,2026-05-04,742
PM00471,R0029,P005,2026-04-07,284
PM00472,R0127,P009,2026-01-13,1001
PM00473,R0010,P007,2026-08-11,1904
PM00474,R0106,P007,2025-06-13,1410
PM00475,R0167,P008,2026-01-07,1081
PM00476,R0257,P005,2026-07-27,1516
PM00477,R0295,P005,2026-02-28,2014
PM00478,R0277,P001,2026-04-22,588
PM00479,R0065,P009,2026-01-17,869
PM00480,R0271,P006,2025-06-04,1731
PM00481,R0188,P009,2025-09-14,321
PM00482,R0138,P003,2026-11-05,1078
PM00483,R0105,P005,2025-03-09,1972
PM00484,R0034,P002,2025-12-10,1292
PM00485,R0110,P010,2025-10-04,1191
PM00486,R0033,P005,2026-11-04,642
PM00487,R0231,P008,2026-01-26,1655
PM00488,R0266,P002,2026-03-25,164
PM00489,R0182,P008,2025-09-16,2360
PM00490,R0065,P004,2025-11-03,1727
PM00491,R0001,P010,2025-04-05,1495
PM00492,R0133,P010,2026-04-09,256
PM00493,R0080,P001,2025-09-03,2400
PM00494,R0271,P005,2026-09-27,161
PM00495,R0241,P001,2025-07-06,1490
PM00496,R0028,P007,2026-01-08,1932
PM00497,R0223,P008,2026-07-26,234
PM00498,R0023,P003,2026-02-10,1814
PM00499,R0109,P003,2026-02-12,950
PM00500,R0107,P007,2025-05-05,270
PM00501,R0145,P004,2025-12-03,1517
PM00502,R0139,P003,2025-12-07,1143
PM00503,R0284,P008,2026-07-17,2062
PM00504,R0298,P003,2025-06-27,650
PM00505,R0099,P007,2026-10-13,1210
PM00506,R0123,P002,2025-06-19,553
PM00507,R0287,P001,2025-02-08,2228
PM00508,R0081,P006,2025-03-10,267
PM00509,R0010,P008,2025-08-24,2268
PM00510,R0008,P001,2026-07-14,1548
PM00511,R0205,P010,2026-01-16,661
PM00512,R0197,P009,2025-02-26,1202
PM00513,R0198,P003,2025-10-04,106
PM00514,R0030,P003,2025-04-09,1254
PM00515,R0020,P004,2026-06-11,295
PM00516,R0048,P001,2025-11-21,193
PM00517,R0130,P009,2026-04-06,417
PM00518,R0293,P003,2025-06-28,1532
PM00519,R0132,P010,2026-07-28,2315
PM00520,R0054,P004,2025-04-29,665
PM00521,R0281,P001,2026-04-14,1931
PM00522,R0265,P004,2026-07-03,1638
PM00523,R0215,P001,2026-10-08,748
PM00524,R0290,P005,2026-03-31,925
PM00525,R0043,P005,2025-01-26,1735
PM00526,R0074,P007,2026-05-05,994
PM00527,R0278,P008,2025-01-08,972
PM00528,R0242,P004,2026-05-31,1796
PM00529,R0130,P007,2026-06-17,74
PM00530,R0194,P004,2025-05-29,1737
PM00531,R0032,P003,2026-05-03,1609
PM00532,R0106,P006,2025-01-25,1133
PM00533,R0204,P004,2026-10-17,483
PM00534,R0001,P003,2026-07-09,1139
PM00535,R0245,P009,2026-03-01,2001
PM00536,R0072,P005,2025-10-20,2203
PM00537,R0015,P007,2025-07-04,145
PM00538,R0053,P006,2026-07-08,217
PM00539,R0008,P010,2026-03-07,2139
PM00540,R0046,P005,2026-08-27,1952
PM00541,R0114,P007,2025-11-13,2201
PM00542,R0147,P006,2026-02-02,1918
PM00543,R0166,P010,2025-11-20,2048
PM00544,R0139,P002,2026-07-19,2379
PM00545,R0117,P003,2026-08-19,1183
PM00546,R0299,P002,2026-06-30,2060
PM00547,R0276,P003,2025-03-17,798
PM00548,R0277,P001,2026-12-10,1941
PM00549,R0178,P008,2026-05-01,880
