PaymentID,ResidentID,PropertyID,PaymentDate,Amount
PM00550,R0154,P006,2025-03-29,98
PM00551,R0201,P002,2025-08-20,164
PM00552,R0115,P008,2025-01-07,1228
PM00553,R0159,P006,2026-07-04,1722
PM00554,R0042,P007,2025-02-21,120
PM00555,R0247,P001,2026-10-17,1409
PM00556,R0068,P007,2026-01-31,116
PM00557,R0196,P003,2025-08-09,1566
PM00558,R0090,P008,2026-03-04,1723
PM00559,R0111,P006,2025-05-23,1827
PM00560,R0145,P004,2025-12-29,1016
PM00561,R0275,P008,2026-01-17,2278
PM00562,R0179,P009,2026-07-15,1839
PM00563,R0241,P010,2025-10-04,662
PM00564,R0153,P002,2025-09-28,1936
PM00565,R0104,P006,2025-01-14,1672
PM00566,R0075,P005,2025-10-25,746
PM00567,R0128,P005,2026-04-09,2345
PM00568,R0199,P010,2026-06-11,1287
PM00569,R0154,P003,2025-08-22,2456
PM00570,R0056,P008,2026-07-29,298
PM00571,R0278,P008,2026-12-09,687
PM00572,R0019,P005,2025-01-27,999
PM00573,R0159,P008,2026-04-16,1954
PM00574,R0026,P010,2025-04-03,1161
PM00575,R0169,P008,2026-09-09,225
PM00576,R0023,P003,2025-11-05,772
PM00577,R0047,P002,2025-02-21,820
PM00578,R0013,P009,2025-11-15,1997
PM00579,R0217,P002,2025-06-30,752
PM00580,R0194,P009,2026-07-23,2178
PM00581,R0144,P004,2025-04-30,976
PM00582,R0073,P002,2025-02-12,187
PM00583,R0156,P010,2026-10-09,2447
PM00584,R0077,P001,2025-09-17,1199
PM00585,R0169,P004,2025-07-16,1990
PM00586,R0287,P009,2026-10-07,1941
PM00587,R0085,P009,2025-09-12,1928
PM00588,R0182,P004,2025-12-02,1303
PM00589,R0297,P009,2026-07-07,1533
PM00590,R0112,P006,2026-05-17,1418
PM00591,R0230,P001,2025-09-12,359
PM00592,R0096,P010,2026-05-29,1093
PM00593,R0168,P006,2026-12-08,1720
PM00594,R0156,P009,2025-08-30,1614
PM00595,R0105,P002,2025-05-29,1633
PM00596,R0193,P006,2026-12-11,1550
PM00597,R0132,P002,2025-10-26,2366
PM00598,R0138,P004,2026-09-12,819
PM00599,R0270,P008,2026-03-29,65
PM00600,R0038,P007,2026-01-28,655
PM00601,R0045,P009,2025-07-31,1431
PM00602,R0163,P007,2026-10-30,862
PM00603,R0253,P001,2026-06-22,2040
PM00604,R0169,P002,2026-08-17,944
PM00605,R0285,P006,2026-08-18,1617
PM00606,R0274,P007,2025-05-11,2366
PM00607,R0020,P003,2025-11-25,463
PM00608,R0239,P009,2026-09-04,74
PM00609,R0270,P007,2025-09-13,2054
PM00610,R0031,P006,2026-04-24,365
PM00611,R0104,P006,2026-07-15,620
PM00612,R0170,P001,2025-03-04,774
PM00613,R0186,P005,2025-11-07,1899
PM00614,R0128,P010,2026-02-11,1349
PM00615,R0210,P003,2025-04-15,2003
PM00616,R0281,P007,2026-09-09,438
PM00617,R0253,P010,2025-01-15,493
PM00618,R0019,P003,2026-11-18,1020
PM00619,R0200,P005,2025-09-16,2465
PM00620,R0220,P007,2026-12-24,2014
PM00621,R0136,P003,2026-02-16,2439
PM00622,R0223,P010,2025-09-16,1878
PM00623,R0003,P002,2026-09-06,353
PM00624,R0236,P006,2025-09-17,813
PM00625,R0228,P008,2026-11-02,2023
PM00626,R0142,P004,2025-02-14,865
PM00627,R0009,P009,2025-11-27,2209
PM00628,R0190,P008,2025-06-14,927
PM00629,R0165,P007,2025-07-12,752
PM00630,R0139,P007,2026-06-05,993
PM00631,R0276,P003,2026-02-05,2376
PM00632,R0291,P006,2026-01-09,2479
PM00633,R0053,P005,2025-03-06,2110
PM00634,R0175,P001,2026-01-22,352
PM00635,R0110,P003,2026-05-10,1629
PM00636,R0203,P001,2026-11-24,209
PM00637,R0136,P004,2026-02-19,2251
PM00638,R0004,P010,2025-01-30,2278
PM00639,R0155,P003,2025-09-23,1253
PM00640,R0172,P004,2025-11-24,2474
PM00641,R0047,P009,2026-05-07,1241
PM00642,R0094,P003,2025-08-05,1223
PM00643,R0048,P006,2025-11-16,2113
PM00644,R0240,P006,2026-02-03,1164
PM00645,R0213,P007,2025-04-15,1193
PM00646,R0139,P009,2026-11-27,2029
PM00647,R0205,P007,2025-11-26,302
PM00648,R0073,P001,2026-10-22,1482
PM00649,R0004,P008,2026-09-09,2128
PM00650,R0076,P005,2025-02-16,780
PM00651,R0077,P009,2026-08-22,2386
PM00652,R0256,P010,2026-10-03,547
PM00653,R0102,P005,2025-11-10,1478
PM00654,R0106,P005,2025-05-27,597
PM00655,R0039,P002,2026-04-07,1010
PM00656,R0275,P003,2026-08-07,181
PM00657,R0088,P010,2026-05-01,1397
PM00658,R0211,P009,2026-10-14,907
PM00659,R0077,P007,2026-02-14,1205
PM00660,R0077,P001,2025-01-27,2082
PM00661,R0028,P003,2025-01-29,570
PM00662,R0245,P002,2025-09-28,79
PM00663,R0066,P001,2026-11-17,2101
PM00664,R0266,P009,2026-05-16,558
PM00665,R0205,P008,2025-09-10,1310
PM00666,R0058,P005,2026-01-20,1608
PM00667,R0201,P002,2025-03-01,65
PM00668,R0225,P001,2025-04-17,1046
PM00669,R0142,P007,2025-08-08,1657
PM00670,R0084,P002,2026-03-17,1889
PM00671,R0143,P001,2026-10-20,2066
PM00672,R0033,P002,2026-07-18,1303
PM00673,R0152,P007,2026-07-26,1793
PM00674,R0158,P007,2026-06-30,2360
PM00675,R0141,P010,2025-04-06,1138
PM00676,R0251,P006,2025-03-30,2362
PM00677,R0112,P005,2025-08-19,1411
PM00678,R0144,P003,2025-10-02,427
PM00679,R0209,P003,2025-09-03,1248
PM00680,R0224,P009,2025-04-21,525
PM00681,R0043,P004,2025-08-22,1339
PM00682,R0264,P009,2025-10-05,378
PM00683,R0244,P004,2026-04-22,1889
PM00684,R0003,P002,2026-02-21,1236
PM00685,R0125,P004,2026-11-09,487
PM00686,R0268,P006,2025-05-08,1440
PM00687,R0084,P006,2025-08-25,1823
PM00688,R0016,P005,2026-09-11,1272
PM00689,R0059,P001,2025-05-08,1573
PM00690,R0177,P003,2026-12-08,2113
PM00691,R0063,P005,2026-01-29,1894
PM00692,R0049,P006,2026-04-20,1369
PM00693,R0246,P001,2026-10-17,917
PM00694,R0289,P009,2026-01-30,1861
PM00695,R0286,P003,2025-04-21,1033
PM00696,R0015,P010,2025-03-31,1312
PM00697,R0255,P003,2025-10-07,1374
PM00698,R0092,P002,2025-11-29,2103
PM00699,R0279,P008,2025-08-12,1068
PM00700,R0206,P003,2025-04-11,1839
PM00701,R0094,P006,2025-05-12,856
PM00702,R0225,P002,2025-01-13,1943
PM00703,R0199,P007,2026-04-02,1459
PM00704,R0271,P004,2026-03-17,1368
PM00705,R0234,P009,2025-04-08,1191
PM00706,R0046,P010,2025-04-30,454
PM00707,R0064,P009,2025-10-20,1836
PM00708,R0230,P007,2026-12-12,643
PM00709,R0249,P008,2025-01-01,61
PM00710,R0246,P003,2026-07-26,2262
PM00711,R0075,P005,2025-09-07,1367
PM00712,R0157,P002,2026-10-14,1592
PM00713,R0223,P010,2025-05-29,2175
PM00714,R0190,P007,2026-01-30,663
PM00715,R0052,P008,2025-02-13,2036
PM00716,R0088,P009,2026-11-29,918
PM00717,R0066,P007,2026-09-12,861
PM00718,R0150,P010,2025-02-13,1872
PM00719,R0020,P010,2025-03-19,816
PM00720,R0033,P008,2025-08-14,131
PM00721,R0281,P009,2025-06-11,1794
PM00722,R0046,P006,2025-09-10,2306
PM00723,R0073,P010,2025-05-12,571
PM00724,R0133,P002,2026-03-24,1377
PM00725,R0055,P002,2026-04-19,1043
PM00726,R0061,P004,2026-10-18,1575
PM00727,R0008,P009,2025-04-19,1519
PM00728,R0272,P007,2026-12-07,1563
PM00729,R0246,P002,2025-02-04,830
PM00730,R0176,P008,2026-04-12,1501
PM00731,R0116,P007,2025-10-02,608
PM00732,R0271,P009,2025-07-06,2188
PM00733,R0193,P008,2025-08-31,2087
PM00734,R0150,P003,2025-09-21,1803
PM00735,R0131,P001,2026-06-06,909
PM00736,R0102,P002,2026-11-09,1662
PM00737,R0270,P002,2026-06-25,605
PM00738,R0292,P004,2025-03-28,205
PM00739,R0210,P006,2026-06-19,2099
PM00740,R0067,P004,2025-07-29,1430
PM00741,R0010,P009,2025-02-15,874
PM00742,R0049,P004,2026-04-12,1642
PM00743,R0111,P006,2026-06-24,1131
PM00744,R0219,P006,2025-01-26,1253
PM00745,R0057,P010,2025-09-23,542
PM00746,R0283,P010,2025-06-24,718
PM00747,R0113,P001,2026-05-31,124
PM00748,R0133,P008,2025-11-07,420
PM00749,R0071,P003,2025-11-18,636
PM00750,R0083,P006,2026-08-02,378
PM00751,R0057,P003,2025-05-15,639
PM00752,R0271,P002,2025-02-24,1840
PM00753,R0111,P005,2026-06-27,826
PM00754,R0076,P001,2026-08-09,2072
PM00755,R0158,P009,2026-06-15,2401
PM00756,R0020,P007,2025-06-05,628
PM00757,R0131,P003,2026-10-30,270
PM00758,R0122,P004,2025-05-27,1237
PM00759,R0041,P006,2026-04-30,1553
PM00760,R0167,P003,2026-08-22,2472
PM00761,R0130,P007,2025-01-20,1757
PM00762,R0023,P006,2025-09-26,1795
PM00763,R0279,P009,2025-11-29,237
PM00764,R0251,P005,2026-07-09,1264
PM00765,R0009,P004,2026-02-05,1159
PM00766,R0013,P003,2025-11-02,893
PM00767,R0052,P010,2025-01-28,580
PM00768,R0209,P001,2026-04-12,1120
PM00769,R0038,P003,2025-09-17,1012
PM00770,R0100,P003,2026-06-18,1219
PM00771,R0193,P007,2025-04-11,1455
PM00772,R0191,P007,2026-07-05,566
PM00773,R0051,P001,2025-12-19,1938
PM00774,R0141,P003,2025-10-27,1541
PM00775,R0168,P008,2026-11-13,1167
PM00776,R0109,P009,2025-10-23,182
PM00777,R0207,P007,2025-12-19,363
PM00778,R0300,P007,2025-05-10,640
PM00779,R0110,P008,2025-06-05,1593
PM00780,R0196,P006,2025-03-15,2256
PM00781,R0152,P003,2025-12-08,1935
PM00782,R0243,P001,2026-04-10,1676
PM00783,R0128,P007,2025-03-31,797
PM00784,R0105,P001,2026-08-02,1547
PM00785,R0010,P001,2026-03-31,850
PM00786,R0148,P009,2026-12-13,1547
PM00787,R0140,P010,2025-11-28,1429
PM00788,R0190,P007,2025-12-14,729
PM00789,R0094,P004,2025-08-21,2211
PM00790,R0229,P006,2026-08-21,946
PM00791,R0063,P001,2025-04-12,1596
PM00792,R0025,P007,2026-04-26,1843
PM00793,R0268,P006,2025-08-02,2162
PM00794,R0281,P004,2025-04-18,733
PM00795,R0011,P007,2025-06-14,1345
PM00796,R0201,P003,2026-08-26,1735
PM00797,R0126,P001,2026-12-05,1435
PM00798,R0190,P004,2025-12-01,2243
PM00799,R0089,P003,2025-03-27,992
PM00800,R0116,P001,2026-02-28,1359
PM00801,R0177,P002,2026-09-05,1083
PM00802,R0014,P005,2025-12-30,2283
PM00803,R0257,P008,2025-03-01,1670
PM00804,R0209,P001,2026-04-27,858
PM00805,R0281,P004,2025-09-07,220
PM00806,R0105,P004,2026-07-14,2310
PM00807,R0147,P005,2025-04-27,1603
PM00808,R0279,P007,2026-06-29,1645
PM00809,R0009,P008,2025-02-13,1673
PM00810,R0118,P006,2026-05-24,76
PM00811,R0094,P001,2025-06-14,1063
PM00812,R0144,P007,2026-01-03,1141
PM00813,R0289,P003,2025-10-19,457
PM00814,R0014,P006,2025-10-13,1182
PM00815,R0257,P008,2025-07-23,123
PM00816,R0186,P007,2026-11-15,729
PM00817,R0207,P010,2026-06-08,1441
PM00818,R0172,P006,2025-05-01,898
PM00819,R0270,P009,2026-10-26,919
PM00820,R0221,P009,2026-10-26,286
PM00821,R0152,P001,2025-07-07,2475
PM00822,R0111,P001,2025-01-13,955
PM00823,R0183,P001,2026-08-26,2473
PM00824,R0072,P008,2025-07-19,668
PM00825,R0283,P010,2026-08-09,1082
PM00826,R0074,P007,2026-04-01,2293
PM00827,R0215,P003,2026-03-24,1363
PM00828,R0023,P002,2025-03-12,896
PM00829,R0068,P004,2026-08-13,1973
PM00830,R0093,P003,2025-05-10,683
PM00831,R0063,P007,2025-02-12,1067
PM00832,R0224,P010,2026-06-04,57
PM00833,R0225,P008,2025-01-13,1442
PM00834,R0103,P006,2026-12-26,1118
PM00835,R0215,P003,2026-09-15,2441
PM00836,R0192,P006,2026-06-19,1830
PM00837,R0160,P002,2025-10-29,1692
PM00838,R0207,P007,2026-06-11,1266
PM00839,R0269,P010,2026-10-04,898
PM00840,R0194,P007,2026-07-27,1430
PM00841,R0152,P004,2025-04-25,111
PM00842,R0237,P008,2026-04-05,1135
PM00843,R0088,P004,2026-05-20,1867
PM00844,R0011,P007,2025-11-04,682
PM00845,R0187,P004,2025-11-21,841
PM00846,R0214,P005,2026-08-02,1350
PM00847,R0015,P007,2025-06-24,1504
PM00848,R0266,P010,2026-05-29,1188
PM00849,R0297,P003,2025-06-21,1761
PM00850,R0073,P010,2026-05-17,574
PM00851,R0052,P005,2025-11-30,2070
PM00852,R0128,P003,2025-10-11,948
PM00853,R0028,P005,2026-04-20,2260
PM00854,R0065,P003,2025-02-23,836
PM00855,R0017,P010,2026-04-03,1410
PM00856,R0138,P007,2026-08-02,2476
PM00857,R0229,P001,2026-02-24,222
PM00858,R0254,P009,2026-09-06,1049
PM00859,R0210,P009,2026-09-24,1860
PM00860,R0294,P005,2026-12-04,113
PM00861,R0231,P009,2026-02-13,1395
PM00862,R0241,P010,2025-10-31,1024
PM00863,R0070,P006,2026-07-13,115
PM00864,R0104,P005,2025-08-10,1916
PM00865,R0204,P003,2026-06-17,1672
PM00866,R0053,P008,2025-06-07,507
PM00867,R0054,P004,2025-12-14,1652
PM00868,R0276,P010,2025-06-08,2007
PM00869,R0031,P003,2025-08-23,1790
PM00870,R0135,P006,2026-10-24,1499
PM00871,R0058,P008,2026-02-09,2009
PM00872,R0105,P009,2025-09-14,2275
PM00873,R0266,P006,2026-11-08,2004
PM00874,R0010,P005,2026-08-12,329
PM00875,R0253,P002,2026-08-20,2441
PM00876,R0295,P002,2026-07-12,1090
PM00877,R0156,P009,2025-02-16,2393
PM00878,R0158,P002,2025-08-01,2299
PM00879,R0037,P002,2026-04-24,1011
PM00880,R0119,P003,2026-05-02,1992
PM00881,R0067,P003,2026-07-25,1267
PM00882,R0242,P004,2026-07-20,424
PM00883,R0299,P007,2025-12-08,1961
PM00884,R0213,P009,2026-06-08,84
PM00885,R0101,P002,2026-12-05,1442
PM00886,R0056,P004,2026-05-18,2126
PM00887,R0239,P009,2025-01-06,824
PM00888,R0231,P002,2025-05-24,270
PM00889,R0092,P010,2025-09-18,2150
PM00890,R0279,P001,2026-08-08,2173
PM00891,R0109,P010,2026-11-17,543
PM00892,R0168,P008,2025-08-20,1761
PM00893,R0300,P009,2025-09-27,2214
PM00894,R0218,P007,2026-03-23,329
PM00895,R0222,P008,2025-08-10,795
PM00896,R0161,P004,2025-02-21,2392
PM00897,R0016,P004,2025-04-26,1524
PM00898,R0278,P002,2026-06-22,1907
PM00899,R0057,P008,2026-07-19,1591
PM00900,R0062,P002,2026-06-25,1146
PM00901,R0242,P009,2025-01-19,1109
PM00902,R0090,P004,2026-01-27,1972
PM00903,R0072,P001,2026-09-21,2055
PM00904,R0030,P004,2026-09-10,546
PM00905,R0288,P003,2026-02-23,2303
PM00906,R0086,P006,2025-11-05,93
PM00907,R0234,P007,2025-07-05,1901
PM00908,R0235,P008,2025-09-18,503
PM00909,R0265,P002,2026-06-12,644
PM00910,R0287,P006,2025-09-30,1406
PM00911,R0269,P006,2025-06-09,556
PM00912,R0186,P010,2025-08-12,843
PM00913,R0131,P005,2025-09-13,70
PM00914,R0291,P010,2025-06-29,1449
PM00915,R0277,P010,2025-01-20,1144
PM00916,R0180,P007,2026-09-16,1477
PM00917,R0290,P003,2026-09-24,1635
PM00918,R0163,P004,2026-12-07,1864
PM00919,R0271,P010,2026-04-13,1470
PM00920,R0096,P009,2026-09-15,386
PM00921,R0262,P004,2025-07-29,1717
PM00922,R0288,P003,2026-05-28,959
PM00923,R0083,P002,2025-02-27,325
PM00924,R0225,P005,2025-04-03,941
PM00925,R0223,P004,2025-08-09,62
PM00926,R0118,P008,2026-12-24,1076
PM00927,R0192,P007,2025-08-20,1023
PM00928,R0079,P006,2025-12-30,224
PM00929,R0078,P002,2026-09-07,1458
PM00930,R0147,P003,2026-07-16,1675
PM00931,R0107,P010,2026-01-09,1993
PM00932,R0271,P009,2026-09-14,2338
PM00933,R0244,P009,2026-04-01,596
PM00934,R0073,P005,2025-03-29,2111
PM00935,R0026,P003,2025-01-20,1268
PM00936,R0210,P002,2025-01-14,1470
PM00937,R0092,P008,2025-05-13,1504
PM00938,R0125,P006,2025-02-03,1483
PM00939,R0073,P010,2025-07-27,52
PM00940,R0123,P007,2025-07-18,1892
PM00941,R0184,P001,2026-08-15,796
PM00942,R0187,P001,2026-08-06,921
PM00943,R0198,P010,2025-06-04,544
PM00944,R0078,P002,2026-08-13,1464
PM00945,R0186,P010,2025-03-19,677
PM00946,R0253,P003,2025-06-21,1125
PM00947,R0013,P001,2025-10-16,191
PM00948,R0299,P005,2026-06-29,1537
PM00949,R0076,P003,2026-02-24,95
PM00950,R0051,P001,2025-01-07,2107
PM00951,R0275,P008,2025-06-09,713
PM00952,R0149,P006,2025-08-28,622
PM00953,R0219,P009,2026-02-27,2079
PM00954,R0122,P003,2026-06-20,1603
PM00955,R0211,P009,2026-12-27,1671
PM00956,R0280,P009,2025-03-11,962
PM00957,R0026,P001,2025-08-04,689
PM00958,R0173,P003,2025-04-14,958
PM00959,R0156,P006,2026-12-28,2275
PM00960,R0238,P008,2025-02-23,918
PM00961,R0082,P004,2025-11-26,1079
PM00962,R0273,P005,2025-07-22,902
PM00963,R0068,P009,2025-10-15,356
PM00964,R0044,P006,2025-02-14,2424
PM00965,R0061,P007,2025-07-17,1866
PM00966,R0123,P007,2025-08-04,444
PM00967,R0196,P004,2026-04-26,2397
PM00968,R0111,P004,2025-11-05,798
PM00969,R0258,P004,2026-03-11,2382
PM00970,R0089,P005,2025-11-28,379
PM00971,R0198,P005,2026-11-27,2147
PM00972,R0282,P008,2025-01-27,2081
PM00973,R0200,P009,2025-06-15,822
PM00974,R0099,P002,2025-11-14,1695
PM00975,R0027,P007,2025-10-01,1782
PM00976,R0089,P001,2026-01-18,427
PM00977,R0146,P001,2025-12-31,1837
PM00978,R0182,P004,2025-04-13,1673
PM00979,R0257,P010,2026-05-18,1049
PM00980,R0189,P007,2026-01-08,1898
PM00981,R0240,P002,2026-09-08,1611
PM00982,R0196,P002,2025-09-02,823
PM00983,R0297,P001,2025-06-18,1133
PM00984,R0165,P010,2026-09-20,1853
PM00985,R0271,P002,2026-10-15,1148
PM00986,R0008,P007,2026-02-22,2100
PM00987,R0038,P009,2025-12-22,1648
PM00988,R0114,P006,2026-04-23,797
PM00989,R0056,P010,2025-05-05,1521
PM00990,R0138,P002,2026-06-21,1814
PM00991,R0102,P010,2026-12-07,2372
PM00992,R0177,P010,2026-09-04,1603
PM00993,R0169,P009,2026-02-06,1665
PM00994,R0286,P007,2026-06-01,2312
PM00995,R0261,P001,2026-06-15,1558
PM00996,R0223,P009,2026-11-13,378
PM00997,R0199,P002,2025-09-11,2352
PM00998,R0211,P004,2025-05-01,1460
PM00999,R0287,P009,2025-02-01,175
PM01000,R0180,P004,2026-10-23,816
PM01001,R0250,P003,2025-02-06,1623
PM01002,R0231,P001,2026-11-20,1277
PM01003,R0023,P007,2025-12-08,1245
PM01004,R0048,P006,2025-01-13,1808
PM01005,R0109,P010,2025-07-02,266
PM01006,R0296,P004,2026-10-19,1409
PM01007,R0006,P006,2025-09-22,1371
PM01008,R0038,P006,2025-03-29,881
PM01009,R0169,P004,2026-04-07,231
PM01010,R0283,P006,2025-02-15,383
PM01011,R0203,P010,2026-01-27,560
PM01012,R0273,P008,2025-04-29,432
PM01013,R0244,P003,2026-06-15,1946
PM01014,R0047,P004,2026-03-23,381
PM01015,R0249,P010,2026-08-29,1238
PM01016,R0079,P001,2025-02-15,1315
PM01017,R0110,P004,2026-05-23,949
PM01018,R0013,P010,2026-07-12,691
PM01019,R0090,P010,2026-06-10,1300
PM01020,R0280,P009,2026-08-20,683
PM01021,R0221,P008,2025-01-03,245
PM01022,R0073,P004,2025-01-28,1943
PM01023,R0234,P007,2026-01-16,507
PM01024,R0260,P010,2025-06-06,879
PM01025,R0113,P003,2026-05-26,2354
PM01026,R0046,P009,2025-11-29,2106
PM01027,R0274,P010,2026-11-18,1274
PM01028,R0043,P004,2025-04-24,936
PM01029,R0208,P002,2026-01-24,442
PM01030,R0103,P010,2026-05-02,1725
PM01031,R0124,P005,2025-09-07,2496
PM01032,R0010,P002,2026-07-25,2428
PM01033,R0187,P010,2026-12-16,2231
PM01034,R0031,P006,2025-11-11,965
PM01035,R0156,P010,2025-08-27,984
PM01036,R0060,P001,2025-08-22,404
PM01037,R0249,P006,2025-10-30,1571
PM01038,R0270,P004,2026-08-30,2387
PM01039,R0217,P003,2026-10-15,678
PM01040,R0002,P002,2025-11-30,1220
PM01041,R0024,P007,2025-04-23,376
PM01042,R0206,P009,2026-09-13,1488
PM01043,R0199,P003,2025-12-28,2307
PM01044,R0114,P006,2025-04-07,1471
PM01045,R0280,P009,2025-01-16,1176
PM01046,R0155,P002,2026-07-10,1830
PM01047,R0165,P007,2026-01-11,1581
PM01048,R0222,P005,2026-01-25,1964
PM01049,R0091,P005,2026-09-12,1282
PM01050,R0167,P007,2025-08-05,2006
PM01051,R0207,P009,2026-02-03,442
PM01052,R0282,P004,2025-09-17,875
PM01053,R0065,P009,2025-11-16,1962
PM01054,R0004,P010,2025-07-15,2445
PM01055,R0157,P009,2026-04-23,99
PM01056,R0249,P004,2026-02-22,1446
PM01057,R0257,P003,2026-04-20,1100
PM01058,R0235,P002,2026-08-30,849
PM01059,R0074,P009,2026-07-22,1842
PM01060,R0187,P002,2026-06-28,1413
PM01061,R0062,P006,2025-08-19,2398
PM01062,R0164,P005,2026-06-05,1615
PM01063,R0056,P005,2026-12-04,2263
PM01064,R0111,P004,2025-07-19,2413
PM01065,R0218,P006,2026-11-04,50
PM01066,R0240,P005,2026-08-22,1069
PM01067,R0021,P004,2025-01-21,1334
PM01068,R0141,P009,2025-11-07,112
PM01069,R0265,P006,2026-08-11,1919
PM01070,R0139,P010,2026-10-15,2319
PM01071,R0070,P010,2026-09-30,201
PM01072,R0118,P010,2026-08-19,693
PM01073,R0198,P003,2026-03-10,675
PM01074,R0205,P010,2026-01-06,266
PM01075,R0214,P006,2026-07-14,245
PM01076,R0056,P001,2025-03-19,1064
PM01077,R0287,P005,2026-06-26,1571
PM01078,R0293,P010,2025-10-12,1628
PM01079,R0175,P006,2026-10-10,1130
PM01080,R0128,P008,2025-05-20,1577
PM01081,R0292,P009,2026-07-07,771
PM01082,R0288,P003,2025-10-09,1657
PM01083,R0226,P002,2026-07-16,1809
PM01084,R0064,P004,2025-09-15,1612
PM01085,R0048,P008,2025-12-26,689
PM01086,R0202,P008,2026-03-16,2203
PM01087,R0060,P003,2025-09-27,214
PM01088,R0257,P004,2025-05-14,264
PM01089,R0065,P003,2026-10-02,1144
PM01090,R0239,P010,2025-04-14,139
PM01091,R0289,P002,2025-04-05,1845
PM01092,R0038,P004,2026-12-30,1301
PM01093,R0025,P006,2026-07-27,1152
PM01094,R0059,P005,2026-04-25,657
PM01095,R0297,P003,2025-08-29,398
PM01096,R0158,P002,2025-01-13,295
PM01097,R0057,P009,2025-05-27,321
PM01098,R0048,P001,2026-08-24,2080
PM01099,R0056,P009,2025-04-05,452
PM01100,R0065,P001,2025-10-20,1515
